x: Stack+malloc area changed from 131072 to 8000 bytes.
[5]	68  17  21  90  128563  
-[ std ]----------------------------
[5]	68  6  21  90  128563  
[5]	68  6  12  90  128563  
[5]	68  6  3  90  128563  
[5]	68  6  3  81  128563  
[5]	68  6  3  72  128563  
[5]	68  6  3  63  128563  
[5]	68  6  3  54  128563  
[5]	68  6  3  45  128563  
[5]	68  6  3  36  128563  
[5]	68  6  3  27  128563  
[5]	68  15  3  27  128563  
[6]	68  15  9  3  27  128563  
[5]	68  15  21  27  128563  
[6]	68  15  21  9  27  128563  
[6]	68  15  21  18  27  128563  
[6]	68  15  21  27  27  128563  
[6]	68  15  21  36  27  128563  
[6]	68  15  21  45  27  128563  
[6]	68  15  21  54  27  128563  
[5]	68  17  21  90  128563  
[5]	68  17  21  90  128563  
 
[5]	68  17  21  90  128563  
-[ worst ]--------------------------
[7]	68  17  21  90  62  62  128428  
[8]	68  17  21  90  62  62  62  128357  
[9]	68  17  21  90  62  62  62  62  128286  
[10]	68  17  21  90  62  62  62  62  62  128215  
[11]	68  17  21  90  62  62  62  62  62  62  128144  
[12]	68  17  21  90  62  62  62  62  62  62  62  128073  
[13]	68  17  21  90  62  62  62  62  62  62  62  62  128002  
[14]	68  17  21  90  62  62  62  62  62  62  62  62  62  127931  
[15]	68  17  21  90  62  62  62  62  62  62  62  62  62  62  127860  
[16]	68  17  21  90  62  62  62  62  62  62  62  62  62  62  62  127789  
[16]	68  17  21  90  62  71  62  62  62  62  62  62  62  62  62  127789  
[15]	68  17  21  90  62  142  62  62  62  62  62  62  62  62  127789  
[14]	68  17  21  90  62  213  62  62  62  62  62  62  62  127789  
[13]	68  17  21  90  62  284  62  62  62  62  62  62  127789  
[12]	68  17  21  90  62  355  62  62  62  62  62  127789  
[11]	68  17  21  90  62  426  62  62  62  62  127789  
[10]	68  17  21  90  62  497  62  62  62  127789  
[9]	68  17  21  90  62  568  62  62  127789  
[8]	68  17  21  90  62  639  62  127789  
[6]	68  17  21  90  62  128501  
-[ std ]----------------------------
[5]	68  17  21  90  128563  
